Reference,Type,Quantity,Value,Footprint,Price,Sum,SP,SPDip,SP Total,PN,URL,Description,,,,,
"ANT1,",,1,ANT_GENERAL,Antennas:ANT_868_IFA_SIMPLEJOY,0,0,0,0,0,-,-,-,do not mount,,,,
"B1,",,1,BAT,Installation:BATTERY_CH7410,35,35,2,0,2,-,http://www.quartz1.com/price/model.php?group=2684&mark=CH7410-2032,,,,,,
"C1,",Capacitor,1,10n,Capacitors:CAP_0603,"0,29","0,29",2,0,2,CC0603KRX7R7BB103,https://www.terraelectronica.ru/product/595783,,"Any Capacitor 10n case 0603, x5r or x7r or np0 isolator",,,,
"C5, C11, C9, C2, C34, C57, C48, C49, C45, C37, C56,",Capacitor,11,1u,Capacitors:CAP_0603,"0,37","4,07",2,0,22,CL10A105KP8NNNC,https://www.terraelectronica.ru/product/882689,,"Any Capacitor 1u case 0603, x5r or x7r or np0 isolator",,,,
"C13, C12, C4,",Capacitor,3,2u2,Capacitors:CAP_0603,"0,62","1,86",2,0,6,CL10A225KQ8NNNC,https://www.terraelectronica.ru/product/863292,,"Any Capacitor 2u2 case 0603, x5r or x7r or np0 isolator",,,,
"C15, C64, C50, C42, C59, C18, C31, C32, C33,",Capacitor,9,10u,Capacitors:CAP_0603,"0,61","5,49",2,0,18,GRM188R60G106ME47D,https://www.terraelectronica.ru/product/367594,,"Any Capacitor 10u case 0603, x5r or x7r or np0 isolator",,,,
"C16, C17, C19, C20, C21, C23, C24, C26, C27, C29, C6, C10, C7, C3, C77, C75, C70, C71, C67, C72, C80, C85, C81, C39, C53, C47, C46, C52, C8, C58, C38, C87,",Capacitor,32,0.1u,Capacitors:CAP_0603,"0,24","7,68",2,0,64,CL10B104KB8NNND,https://www.terraelectronica.ru/product/863315,,"Any Capacitor 0.1u case 0603, x5r or x7r or np0 isolator",,,,
"C22, C25, C61, C63,",Capacitor,4,18pF,Capacitors:CAP_0603,"0,23","0,92",2,0,8,CC0603JRNPO9BN180,https://www.terraelectronica.ru/product/326939,,"Any Capacitor 18pF case 0603, x5r or x7r or np0 isolator",,,,
"C28, C30,",Capacitor,2,6.8pF,Capacitors:CAP_0603,"0,45","0,9",2,0,4,CL10C6R8CB8NNNC,https://www.terraelectronica.ru/product/863469,,"Any Capacitor 6.8pF case 0603, x5r or x7r or np0 isolator",,,,
"C36, C35,",Capacitor,2,150pF,Capacitors:CAP_0603,"0,5",1,2,0,4,CL10C151JB8NNNC,https://www.terraelectronica.ru/product/863401,,"Any Capacitor 150pF case 0603, x5r or x7r or np0 isolator",,,,
"C44, C62, C69, С83",Capacitor,3,47pF,Capacitors:CAP_0402 100 шт,"0,22","0,66",2,0,6,CC0402JRNPO9BN470,https://www.terraelectronica.ru/product/567824,,"Any Capacitor 47pF case 0402, x5r or x7r or np0 isolator",,,,
"C51, C41, C40, C43, C55,",Capacitor,5,0.1u,Capacitors:CAP_0402,"0,16","0,8",2,0,10,CL05A104KA5NNNC,https://www.terraelectronica.ru/product/863209,,"Any Capacitor 0.1u case 0402, x5r or x7r or np0 isolator",,,,
"C54,",Capacitor,1,4u7,Capacitors:CAP_0805,"1,1","1,1",2,0,2,GRM21BR61E475KA12L,https://www.terraelectronica.ru/product/343068,,"Any Capacitor 4u7 case 0805, x5r or x7r or np0 isolator, 25V",,,,куплено 10 шт
"C60,",Capacitor,1,10n,Capacitors:CAP_0402,"0,17","0,17",2,0,2,CL05B103JB5NNNC,https://www.terraelectronica.ru/product/575020,,"Any Capacitor 10n case 0402, x5r or x7r or np0 isolator",,,,
"C65, C73,",Capacitor,2,8.2pF,Capacitors:CAP_0402 100 шт,"0,24","0,48",2,0,4,CC0402DRNPO9BN8R2,https://www.terraelectronica.ru/product/1136580,,"Any Capacitor 8.2pF case 0402, x5r or x7r or np0 isolator",,,,куплено 100 шт
"C66, C76,",Capacitor,2,3.3pF,Capacitors:CAP_0402,"0,24","0,48",2,0,4,CC0402CRNPO9BN3R6,https://www.terraelectronica.ru/product/866766,,"Any Capacitor 3.3pF case 0402, x5r or x7r or np0 isolator",,,,
"C68,",Capacitor,1,22pF,Capacitors:CAP_0402 100 шт,"0,21","0,21",2,0,2,GRM1555C1H220FA01D,https://www.terraelectronica.ru/product/866760,,"Any Capacitor 22pF case 0402, x5r or x7r or np0 isolator",,,,
"C74,",Capacitor,1,1.5pF,Capacitors:CAP_0402,"0,16","0,16",2,0,2,GRM1555C1H1R5CA01D,https://www.terraelectronica.ru/product/866759,,"Any Capacitor 1.5pF case 0402, x5r or x7r or np0 isolator",,,,
"C78, C14,",,2,1000uF,Capacitors:CAP_10xxR диаметр 10 мм,"14,5",29,2,0,4,CA006M1000REG-1010,https://www.terraelectronica.ru/product/624735,,,,,,
"C82, C79,",Capacitor,2,1000pF,Capacitors:CAP_0402,"0,12","0,24",2,0,4,CC0402KRX7R7BB102,https://www.terraelectronica.ru/product/337970,,"Any Capacitor 1000pF case 0402, x5r or x7r or np0 isolator",,,,
"C86, C84,",,2,C,Capacitors:CAP_0402,,0,,,0,,,,,,,,
"D1,",,1,LED,LEDs:LED_0603,5,5,6,0,6,-,-,,,,,,
"D2,",,1,SS14,Diodes:SMA_DO214AC,2,2,2,0,2,SS14,https://www.terraelectronica.ru/product/1006032,,,,,,
и,PN,2,PESD3V3,Diodes:SOD323,"4,1","8,2",2,0,4,PESD3V3,https://www.terraelectronica.ru/product/247487,,,,,,
"DA1,",PN,1,ST1S06,QFN_DFN:DFN6_3x3,"56,5","56,5",6,0,6,ST1S06,https://www.terraelectronica.ru/product/298082,,купили 5,,,,
"DA2,",PN,1,PT4110,SOT:SOT89-5,13,13,6,0,6,PT4110,"https://ru.aliexpress.com/item/32909145567.html?spm=a2g0o.productlist.0.0.2ae5294a8gMbZL&algo_pvid=4b15b508-a583-4b04-ba9a-54adcbfcbc12&algo_expid=4b15b508-a583-4b04-ba9a-54adcbfcbc12-0&btsid=7122c07e-88a6-41e9-9f0d-c306ce76d805&ws_ab_test=searchweb0_0,searchweb201602_2,searchweb201603_53",,,,,,
"DA3,",PN,1,NCP511SN25,SOT:SOT23-5,"23,1","23,1",5,0,5,NCP511SN25,https://www.terraelectronica.ru/product/361863,https://onelec.ru/products/ncp511sn25 0,,,,,
